BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Donald J. Trump,2.0,Lee County,84.28%,Republican,401 - STICKLEYVILLE (09),311.0
Jo Jorgensen,3.0,Lee County,0.81%,Libertarian,401 - STICKLEYVILLE (09),3.0
Write In,2147483647.0,Lee County,0.00%,Write-In,401 - STICKLEYVILLE (09),0.0
Joseph R. Biden,1.0,Lee County,7.92%,Democratic,402 - JASPER (09),21.0
Donald J. Trump,2.0,Lee County,90.57%,Republican,402 - JASPER (09),240.0
Jo Jorgensen,3.0,Lee County,1.13%,Libertarian,402 - JASPER (09),3.0
Write In,2147483647.0,Lee County,0.38%,Write-In,402 - JASPER (09),1.0
Joseph R. Biden,1.0,Lee County,8.20%,Democratic,403 - SEMINARY (09),30.0
Donald J. Trump,2.0,Lee County,91.26%,Republican,403 - SEMINARY (09),334.0
Jo Jorgensen,3.0,Lee County,0.55%,Libertarian,403 - SEMINARY (09),2.0
Write In,2147483647.0,Lee County,0.00%,Write-In,403 - SEMINARY (09),0.0
Joseph R. Biden,1.0,Lee County,8.21%,Democratic,404 - DRYDEN (09),50.0
Donald J. Trump,2.0,Lee County,90.64%,Republican,404 - DRYDEN (09),552.0
Jo Jorgensen,3.0,Lee County,0.82%,Libertarian,404 - DRYDEN (09),5.0
Write In,2147483647.0,Lee County,0.33%,Write-In,404 - DRYDEN (09),2.0
Joseph R. Biden,1.0,Lee County,18.08%,Democratic,501 - SAINT CHARLES (09),49.0
Donald J. Trump,2.0,Lee County,81.18%,Republican,501 - SAINT CHARLES (09),220.0
Jo Jorgensen,3.0,Lee County,0.74%,Libertarian,501 - SAINT CHARLES (09),2.0
Write In,2147483647.0,Lee County,0.00%,Write-In,501 - SAINT CHARLES (09),0.0
Joseph R. Biden,1.0,Lee County,10.26%,Democratic,502 - PENNINGTON (09),62.0
Donald J. Trump,2.0,Lee County,89.07%,Republican,502 - PENNINGTON (09),538.0
Jo Jorgensen,3.0,Lee County,0.66%,Libertarian,502 - PENNINGTON (09),4.0
Write In,2147483647.0,Lee County,0.00%,Write-In,502 - PENNINGTON (09),0.0
Joseph R. Biden,1.0,Lee County,11.43%,Democratic,503 - ROBBINS CHAPEL (09),12.0
Donald J. Trump,2.0,Lee County,85.71%,Republican,503 - ROBBINS CHAPEL (09),90.0
Jo Jorgensen,3.0,Lee County,1.90%,Libertarian,503 - ROBBINS CHAPEL (09),2.0
Write In,2147483647.0,Lee County,0.95%,Write-In,503 - ROBBINS CHAPEL (09),1.0
Joseph R. Biden,1.0,Lee County,15.00%,Democratic,504 - KEOKEE (09),24.0
Donald J. Trump,2.0,Lee County,85.00%,Republican,504 - KEOKEE (09),136.0
Jo Jorgensen,3.0,Lee County,0.00%,Libertarian,504 - KEOKEE (09),0.0
Write In,2147483647.0,Lee County,0.00%,Write-In,504 - KEOKEE (09),0.0
Joseph R. Biden,1.0,Loudoun County,70.01%,Democratic,# AB - Central Absentee Precinct (10),109335.0
Donald J. Trump,2.0,Loudoun County,28.36%,Republican,# AB - Central Absentee Precinct (10),44292.0
Jo Jorgensen,3.0,Loudoun County,1.16%,Libertarian,# AB - Central Absentee Precinct (10),1807.0
Write In,2147483647.0,Loudoun County,0.47%,Write-In,# AB - Central Absentee Precinct (10),730.0
Joseph R. Biden,1.0,Loudoun County,67.37%,Democratic,## Provisional (10),545.0
Donald J. Trump,2.0,Loudoun County,31.03%,Republican,## Provisional (10),251.0
Jo Jorgensen,3.0,Loudoun County,1.36%,Libertarian,## Provisional (10),11.0
Write In,2147483647.0,Loudoun County,0.25%,Write-In,## Provisional (10),2.0
Joseph R. Biden,1.0,Loudoun County,37.52%,Democratic,107 - LITTLE RIVER (10),263.0
Donald J. Trump,2.0,Loudoun County,59.77%,Republican,107 - LITTLE RIVER (10),419.0
Jo Jorgensen,3.0,Loudoun County,1.85%,Libertarian,107 - LITTLE RIVER (10),13.0
Write In,2147483647.0,Loudoun County,0.86%,Write-In,107 - LITTLE RIVER (10),6.0
Joseph R. Biden,1.0,Loudoun County,44.02%,Democratic,108 - MERCER (10),309.0
Donald J. Trump,2.0,Loudoun County,53.99%,Republican,108 - MERCER (10),379.0
Jo Jorgensen,3.0,Loudoun County,1.28%,Libertarian,108 - MERCER (10),9.0
Write In,2147483647.0,Loudoun County,0.71%,Write-In,108 - MERCER (10),5.0
Joseph R. Biden,1.0,Loudoun County,43.24%,Democratic,112 - FREEDOM (10),176.0
Donald J. Trump,2.0,Loudoun County,54.05%,Republican,112 - FREEDOM (10),220.0
Jo Jorgensen,3.0,Loudoun County,1.72%,Libertarian,112 - FREEDOM (10),7.0
Write In,2147483647.0,Loudoun County,0.98%,Write-In,112 - FREEDOM (10),4.0
Joseph R. Biden,1.0,Loudoun County,42.21%,Democratic,114 - DULLES SOUTH (10),187.0
Donald J. Trump,2.0,Loudoun County,54.40%,Republican,114 - DULLES SOUTH (10),241.0
Jo Jorgensen,3.0,Loudoun County,2.93%,Libertarian,114 - DULLES SOUTH (10),13.0
Write In,2147483647.0,Loudoun County,0.45%,Write-In,114 - DULLES SOUTH (10),2.0
Joseph R. Biden,1.0,Loudoun County,56.58%,Democratic,117 - CARTER (10),228.0
Donald J. Trump,2.0,Loudoun County,41.19%,Republican,117 - CARTER (10),166.0
Jo Jorgensen,3.0,Loudoun County,1.49%,Libertarian,117 - CARTER (10),6.0
Write In,2147483647.0,Loudoun County,0.74%,Write-In,117 - CARTER (10),3.0
Joseph R. Biden,1.0,Loudoun County,47.73%,Democratic,118 - MOOREFIELD (10),336.0
Donald J. Trump,2.0,Loudoun County,50.85%,Republican,118 - MOOREFIELD (10),358.0
Jo Jorgensen,3.0,Loudoun County,0.85%,Libertarian,118 - MOOREFIELD (10),6.0
Write In,2147483647.0,Loudoun County,0.57%,Write-In,118 - MOOREFIELD (10),4.0
Joseph R. Biden,1.0,Loudoun County,51.46%,Democratic,119 - ARCOLA (10),299.0
Donald J. Trump,2.0,Loudoun County,46.47%,Republican,119 - ARCOLA (10),270.0
Jo Jorgensen,3.0,Loudoun County,1.72%,Libertarian,119 - ARCOLA (10),10.0
Write In,2147483647.0,Loudoun County,0.34%,Write-In,119 - ARCOLA (10),2.0
Joseph R. Biden,1.0,Loudoun County,45.80%,Democratic,120 - LUNSFORD (10),333.0
Donald J. Trump,2.0,Loudoun County,51.99%,Republican,120 - LUNSFORD (10),378.0
Jo Jorgensen,3.0,Loudoun County,1.65%,Libertarian,120 - LUNSFORD (10),12.0
Write In,2147483647.0,Loudoun County,0.55%,Write-In,120 - LUNSFORD (10),4.0
Joseph R. Biden,1.0,Loudoun County,44.22%,Democratic,121 - TOWN HALL (10),245.0
Donald J. Trump,2.0,Loudoun County,51.62%,Republican,121 - TOWN HALL (10),286.0
Jo Jorgensen,3.0,Loudoun County,3.25%,Libertarian,121 - TOWN HALL (10),18.0
Write In,2147483647.0,Loudoun County,0.90%,Write-In,121 - TOWN HALL (10),5.0
Joseph R. Biden,1.0,Loudoun County,41.63%,Democratic,122 - HUTCHISON FARM (10),301.0
Donald J. Trump,2.0,Loudoun County,56.85%,Republican,122 - HUTCHISON FARM (10),411.0
Jo Jorgensen,3.0,Loudoun County,1.24%,Libertarian,122 - HUTCHISON FARM (10),9.0
Write In,2147483647.0,Loudoun County,0.28%,Write-In,122 - HUTCHISON FARM (10),2.0
Joseph R. Biden,1.0,Loudoun County,43.19%,Democratic,123 - CARDINAL RIDGE (10),184.0
Donald J. Trump,2.0,Loudoun County,53.52%,Republican,123 - CARDINAL RIDGE (10),228.0
Jo Jorgensen,3.0,Loudoun County,1.88%,Libertarian,123 - CARDINAL RIDGE (10),8.0
Write In,2147483647.0,Loudoun County,1.41%,Write-In,123 - CARDINAL RIDGE (10),6.0
Joseph R. Biden,1.0,Loudoun County,49.21%,Democratic,124 - LIBERTY (10),217.0
Donald J. Trump,2.0,Loudoun County,48.98%,Republican,124 - LIBERTY (10),216.0
Jo Jorgensen,3.0,Loudoun County,0.91%,Libertarian,124 - LIBERTY (10),4.0
Write In,2147483647.0,Loudoun County,0.91%,Write-In,124 - LIBERTY (10),4.0
Joseph R. Biden,1.0,Loudoun County,51.99%,Democratic,125 - ROCK RIDGE (10),365.0
Donald J. Trump,2.0,Loudoun County,46.44%,Republican,125 - ROCK RIDGE (10),326.0
Jo Jorgensen,3.0,Loudoun County,0.85%,Libertarian,125 - ROCK RIDGE (10),6.0
Write In,2147483647.0,Loudoun County,0.71%,Write-In,125 - ROCK RIDGE (10),5.0
Joseph R. Biden,1.0,Loudoun County,45.45%,Democratic,126-GOSHEN POST (10),330.0
Donald J. Trump,2.0,Loudoun County,51.10%,Republican,126-GOSHEN POST (10),371.0
Jo Jorgensen,3.0,Loudoun County,3.03%,Libertarian,126-GOSHEN POST (10),22.0
Write In,2147483647.0,Loudoun County,0.41%,Write-In,126-GOSHEN POST (10),3.0
Joseph R. Biden,1.0,Loudoun County,39.68%,Democratic,207 - RIVER BEND (10),200.0
Donald J. Trump,2.0,Loudoun County,56.94%,Republican,207 - RIVER BEND (10),287.0
Jo Jorgensen,3.0,Loudoun County,2.38%,Libertarian,207 - RIVER BEND (10),12.0
Write In,2147483647.0,Loudoun County,0.99%,Write-In,207 - RIVER BEND (10),5.0
Joseph R. Biden,1.0,Loudoun County,44.95%,Democratic,208 - ALGONKIAN (10),267.0
Donald J. Trump,2.0,Loudoun County,51.68%,Republican,208 - ALGONKIAN (10),307.0
Jo Jorgensen,3.0,Loudoun County,2.36%,Libertarian,208 - ALGONKIAN (10),14.0
Write In,2147483647.0,Loudoun County,1.01%,Write-In,208 - ALGONKIAN (10),6.0
Joseph R. Biden,1.0,Loudoun County,41.54%,Democratic,209 - POTOMAC FALLS (10),265.0
Donald J. Trump,2.0,Loudoun County,54.23%,Republican,209 - POTOMAC FALLS (10),346.0
Jo Jorgensen,3.0,Loudoun County,2.98%,Libertarian,209 - POTOMAC FALLS (10),19.0
Write In,2147483647.0,Loudoun County,1.25%,Write-In,209 - POTOMAC FALLS (10),8.0
Joseph R. Biden,1.0,Loudoun County,49.27%,Democratic,210 - CASCADES (10),439.0
Donald J. Trump,2.0,Loudoun County,46.91%,Republican,210 - CASCADES (10),418.0
Jo Jorgensen,3.0,Loudoun County,2.92%,Libertarian,210 - CASCADES (10),26.0
Write In,2147483647.0,Loudoun County,0.90%,Write-In,210 - CASCADES (10),8.0
Joseph R. Biden,1.0,Loudoun County,47.34%,Democratic,213 - COUNTRYSIDE (10),151.0
Donald J. Trump,2.0,Loudoun County,49.22%,Republican,213 - COUNTRYSIDE (10),157.0
Jo Jorgensen,3.0,Loudoun County,2.82%,Libertarian,213 - COUNTRYSIDE (10),9.0
Write In,2147483647.0,Loudoun County,0.63%,Write-In,213 - COUNTRYSIDE (10),2.0
Joseph R. Biden,1.0,Loudoun County,41.64%,Democratic,214 - SUGARLAND NORTH (10),319.0
Donald J. Trump,2.0,Loudoun County,54.96%,Republican,214 - SUGARLAND NORTH (10),421.0
Jo Jorgensen,3.0,Loudoun County,2.48%,Libertarian,214 - SUGARLAND NORTH (10),19.0
Write In,2147483647.0,Loudoun County,0.91%,Write-In,214 - SUGARLAND NORTH (10),7.0
Joseph R. Biden,1.0,Loudoun County,49.14%,Democratic,215 - SUGARLAND SOUTH (10),487.0
Donald J. Trump,2.0,Loudoun County,48.94%,Republican,215 - SUGARLAND SOUTH (10),485.0
Jo Jorgensen,3.0,Loudoun County,1.41%,Libertarian,215 - SUGARLAND SOUTH (10),14.0
Write In,2147483647.0,Loudoun County,0.50%,Write-In,215 - SUGARLAND SOUTH (10),5.0
Joseph R. Biden,1.0,Loudoun County,42.84%,Democratic,216 - LOWES ISLAND (10),329.0
Donald J. Trump,2.0,Loudoun County,54.04%,Republican,216 - LOWES ISLAND (10),415.0
Jo Jorgensen,3.0,Loudoun County,2.34%,Libertarian,216 - LOWES ISLAND (10),18.0
Write In,2147483647.0,Loudoun County,0.78%,Write-In,216 - LOWES ISLAND (10),6.0
Joseph R. Biden,1.0,Loudoun County,41.32%,Democratic,217 - SOUTH BANK (10),276.0
Donald J. Trump,2.0,Loudoun County,55.39%,Republican,217 - SOUTH BANK (10),370.0
Jo Jorgensen,3.0,Loudoun County,2.10%,Libertarian,217 - SOUTH BANK (10),14.0
Write In,2147483647.0,Loudoun County,1.20%,Write-In,217 - SOUTH BANK (10),8.0
Joseph R. Biden,1.0,Loudoun County,51.79%,Democratic,218 - UNIVERSITY CENTER (10),361.0
Donald J. Trump,2.0,Loudoun County,44.91%,Republican,218 - UNIVERSITY CENTER (10),313.0
Jo Jorgensen,3.0,Loudoun County,2.87%,Libertarian,218 - UNIVERSITY CENTER (10),20.0
Write In,2147483647.0,Loudoun County,0.43%,Write-In,218 - UNIVERSITY CENTER (10),3.0
Joseph R. Biden,1.0,Loudoun County,45.56%,Democratic,219 - GALILEE CHURCH (10),328.0
Donald J. Trump,2.0,Loudoun County,49.17%,Republican,219 - GALILEE CHURCH (10),354.0
Jo Jorgensen,3.0,Loudoun County,4.86%,Libertarian,219 - GALILEE CHURCH (10),35.0
Write In,2147483647.0,Loudoun County,0.42%,Write-In,219 - GALILEE CHURCH (10),3.0
Joseph R. Biden,1.0,Loudoun County,25.16%,Democratic,301 - PURCELLVILLE (10),196.0
Donald J. Trump,2.0,Loudoun County,71.12%,Republican,301 - PURCELLVILLE (10),554.0
Jo Jorgensen,3.0,Loudoun County,2.70%,Libertarian,301 - PURCELLVILLE (10),21.0
Write In,2147483647.0,Loudoun County,1.03%,Write-In,301 - PURCELLVILLE (10),8.0
Joseph R. Biden,1.0,Loudoun County,30.52%,Democratic,302 - ROUND HILL (10),347.0
Donald J. Trump,2.0,Loudoun County,67.55%,Republican,302 - ROUND HILL (10),768.0
Jo Jorgensen,3.0,Loudoun County,1.67%,Libertarian,302 - ROUND HILL (10),19.0
Write In,2147483647.0,Loudoun County,0.26%,Write-In,302 - ROUND HILL (10),3.0
Joseph R. Biden,1.0,Loudoun County,24.78%,Democratic,303 - HILLSBORO (10),225.0
Donald J. Trump,2.0,Loudoun County,72.69%,Republican,303 - HILLSBORO (10),660.0
Jo Jorgensen,3.0,Loudoun County,1.98%,Libertarian,303 - HILLSBORO (10),18.0
Write In,2147483647.0,Loudoun County,0.55%,Write-In,303 - HILLSBORO (10),5.0
Joseph R. Biden,1.0,Loudoun County,30.30%,Democratic,305 - PHILOMONT (10),173.0
Donald J. Trump,2.0,Loudoun County,67.60%,Republican,305 - PHILOMONT (10),386.0
Jo Jorgensen,3.0,Loudoun County,1.40%,Libertarian,305 - PHILOMONT (10),8.0
Write In,2147483647.0,Loudoun County,0.70%,Write-In,305 - PHILOMONT (10),4.0
Joseph R. Biden,1.0,Loudoun County,45.63%,Democratic,307 - MIDDLEBURG (10),282.0
Donald J. Trump,2.0,Loudoun County,52.75%,Republican,307 - MIDDLEBURG (10),326.0
Jo Jorgensen,3.0,Loudoun County,1.13%,Libertarian,307 - MIDDLEBURG (10),7.0
Write In,2147483647.0,Loudoun County,0.49%,Write-In,307 - MIDDLEBURG (10),3.0
Joseph R. Biden,1.0,Loudoun County,39.13%,Democratic,308 - ST LOUIS (10),225.0
Donald J. Trump,2.0,Loudoun County,58.78%,Republican,308 - ST LOUIS (10),338.0
Jo Jorgensen,3.0,Loudoun County,1.74%,Libertarian,308 - ST LOUIS (10),10.0
Write In,2147483647.0,Loudoun County,0.35%,Write-In,308 - ST LOUIS (10),2.0
Joseph R. Biden,1.0,Loudoun County,39.04%,Democratic,309 - ALDIE (10),171.0
Donald J. Trump,2.0,Loudoun County,59.36%,Republican,309 - ALDIE (10),260.0
Jo Jorgensen,3.0,Loudoun County,0.68%,Libertarian,309 - ALDIE (10),3.0
Write In,2147483647.0,Loudoun County,0.91%,Write-In,309 - ALDIE (10),4.0
Joseph R. Biden,1.0,Loudoun County,28.20%,Democratic,310 - MOUNTAIN VIEW (10),302.0
Donald J. Trump,2.0,Loudoun County,68.53%,Republican,310 - MOUNTAIN VIEW (10),734.0
Jo Jorgensen,3.0,Loudoun County,2.33%,Libertarian,310 - MOUNTAIN VIEW (10),25.0
Write In,2147483647.0,Loudoun County,0.93%,Write-In,310 - MOUNTAIN VIEW (10),10.0
Joseph R. Biden,1.0,Loudoun County,28.23%,Democratic,311 - ROUND HILL ELEMENTARY (10),330.0
Donald J. Trump,2.0,Loudoun County,69.29%,Republican,311 - ROUND HILL ELEMENTARY (10),810.0
Jo Jorgensen,3.0,Loudoun County,1.45%,Libertarian,311 - ROUND HILL ELEMENTARY (10),17.0
Write In,2147483647.0,Loudoun County,1.03%,Write-In,311 - ROUND HILL ELEMENTARY (10),12.0
Joseph R. Biden,1.0,Loudoun County,48.65%,Democratic,312 - BRIAR WOODS (10),360.0
Donald J. Trump,2.0,Loudoun County,50.27%,Republican,312 - BRIAR WOODS (10),372.0
Jo Jorgensen,3.0,Loudoun County,0.41%,Libertarian,312 - BRIAR WOODS (10),3.0
Write In,2147483647.0,Loudoun County,0.68%,Write-In,312 - BRIAR WOODS (10),5.0
Joseph R. Biden,1.0,Loudoun County,44.84%,Democratic,313 - PINEBROOK (10),352.0
Donald J. Trump,2.0,Loudoun County,52.61%,Republican,313 - PINEBROOK (10),413.0
Jo Jorgensen,3.0,Loudoun County,1.78%,Libertarian,313 - PINEBROOK (10),14.0
Write In,2147483647.0,Loudoun County,0.76%,Write-In,313 - PINEBROOK (10),6.0
Joseph R. Biden,1.0,Loudoun County,45.97%,Democratic,314 - LEGACY (10),342.0
Donald J. Trump,2.0,Loudoun County,51.88%,Republican,314 - LEGACY (10),386.0
Jo Jorgensen,3.0,Loudoun County,1.48%,Libertarian,314 - LEGACY (10),11.0
Write In,2147483647.0,Loudoun County,0.67%,Write-In,314 - LEGACY (10),5.0
Joseph R. Biden,1.0,Loudoun County,26.80%,Democratic,315 - FIREHOUSE (10),108.0
Donald J. Trump,2.0,Loudoun County,71.46%,Republican,315 - FIREHOUSE (10),288.0
Jo Jorgensen,3.0,Loudoun County,1.24%,Libertarian,315 - FIREHOUSE (10),5.0
Write In,2147483647.0,Loudoun County,0.50%,Write-In,315 - FIREHOUSE (10),2.0
Joseph R. Biden,1.0,Loudoun County,47.89%,Democratic,316 - CREIGHTON'S CORNER (10),431.0
Donald J. Trump,2.0,Loudoun County,49.44%,Republican,316 - CREIGHTON'S CORNER (10),445.0
Jo Jorgensen,3.0,Loudoun County,1.44%,Libertarian,316 - CREIGHTON'S CORNER (10),13.0
Write In,2147483647.0,Loudoun County,1.22%,Write-In,316 - CREIGHTON'S CORNER (10),11.0
Joseph R. Biden,1.0,Loudoun County,28.44%,Democratic,318 - MADISON'S TRUST (10),244.0
Donald J. Trump,2.0,Loudoun County,68.65%,Republican,318 - MADISON'S TRUST (10),589.0
Jo Jorgensen,3.0,Loudoun County,2.21%,Libertarian,318 - MADISON'S TRUST (10),19.0
Write In,2147483647.0,Loudoun County,0.70%,Write-In,318 - MADISON'S TRUST (10),6.0
Joseph R. Biden,1.0,Loudoun County,40.89%,Democratic,319 - JOHN CHAMPE (10),366.0
Donald J. Trump,2.0,Loudoun County,57.65%,Republican,319 - JOHN CHAMPE (10),516.0
Jo Jorgensen,3.0,Loudoun County,1.23%,Libertarian,319 - JOHN CHAMPE (10),11.0
Write In,2147483647.0,Loudoun County,0.22%,Write-In,319 - JOHN CHAMPE (10),2.0
Joseph R. Biden,1.0,Loudoun County,55.67%,Democratic,320 - STONE HILL (10),501.0
Donald J. Trump,2.0,Loudoun County,42.00%,Republican,320 - STONE HILL (10),378.0
Jo Jorgensen,3.0,Loudoun County,1.56%,Libertarian,320 - STONE HILL (10),14.0
Write In,2147483647.0,Loudoun County,0.78%,Write-In,320 - STONE HILL (10),7.0
Joseph R. Biden,1.0,Loudoun County,50.20%,Democratic,321 - BRAMBLETON MIDDLE (10),249.0
Donald J. Trump,2.0,Loudoun County,46.98%,Republican,321 - BRAMBLETON MIDDLE (10),233.0
Jo Jorgensen,3.0,Loudoun County,2.22%,Libertarian,321 - BRAMBLETON MIDDLE (10),11.0
Write In,2147483647.0,Loudoun County,0.60%,Write-In,321 - BRAMBLETON MIDDLE (10),3.0
Joseph R. Biden,1.0,Loudoun County,47.02%,Democratic,322-BUFFALO TRAIL (10),276.0
Donald J. Trump,2.0,Loudoun County,50.60%,Republican,322-BUFFALO TRAIL (10),297.0
Jo Jorgensen,3.0,Loudoun County,1.87%,Libertarian,322-BUFFALO TRAIL (10),11.0
Write In,2147483647.0,Loudoun County,0.51%,Write-In,322-BUFFALO TRAIL (10),3.0
Joseph R. Biden,1.0,Loudoun County,27.20%,Democratic,401 - WEST LOVETTSVILLE (10),423.0
Donald J. Trump,2.0,Loudoun County,70.03%,Republican,401 - WEST LOVETTSVILLE (10),1089.0
Jo Jorgensen,3.0,Loudoun County,2.12%,Libertarian,401 - WEST LOVETTSVILLE (10),33.0
Write In,2147483647.0,Loudoun County,0.64%,Write-In,401 - WEST LOVETTSVILLE (10),10.0
Joseph R. Biden,1.0,Loudoun County,27.46%,Democratic,402 - WATERFORD (10),299.0
Donald J. Trump,2.0,Loudoun County,68.60%,Republican,402 - WATERFORD (10),747.0
Jo Jorgensen,3.0,Loudoun County,2.75%,Libertarian,402 - WATERFORD (10),30.0
Write In,2147483647.0,Loudoun County,1.19%,Write-In,402 - WATERFORD (10),13.0
Joseph R. Biden,1.0,Loudoun County,34.37%,Democratic,403 - LUCKETTS (10),353.0
Donald J. Trump,2.0,Loudoun County,63.58%,Republican,403 - LUCKETTS (10),653.0
Jo Jorgensen,3.0,Loudoun County,1.07%,Libertarian,403 - LUCKETTS (10),11.0
Write In,2147483647.0,Loudoun County,0.97%,Write-In,403 - LUCKETTS (10),10.0
Joseph R. Biden,1.0,Loudoun County,40.59%,Democratic,407 - HARPER PARK (10),179.0
Donald J. Trump,2.0,Loudoun County,57.37%,Republican,407 - HARPER PARK (10),253.0
Jo Jorgensen,3.0,Loudoun County,1.13%,Libertarian,407 - HARPER PARK (10),5.0
Write In,2147483647.0,Loudoun County,0.91%,Write-In,407 - HARPER PARK (10),4.0
Joseph R. Biden,1.0,Loudoun County,35.09%,Democratic,408 - EVERGREEN (10),299.0
Donald J. Trump,2.0,Loudoun County,63.15%,Republican,408 - EVERGREEN (10),538.0
Jo Jorgensen,3.0,Loudoun County,1.41%,Libertarian,408 - EVERGREEN (10),12.0
Write In,2147483647.0,Loudoun County,0.35%,Write-In,408 - EVERGREEN (10),3.0
Joseph R. Biden,1.0,Loudoun County,26.03%,Democratic,409 - CLARKES GAP (10),202.0
Donald J. Trump,2.0,Loudoun County,71.52%,Republican,409 - CLARKES GAP (10),555.0
Jo Jorgensen,3.0,Loudoun County,1.68%,Libertarian,409 - CLARKES GAP (10),13.0
Write In,2147483647.0,Loudoun County,0.77%,Write-In,409 - CLARKES GAP (10),6.0
Joseph R. Biden,1.0,Loudoun County,23.76%,Democratic,411 - EAST LOVETTSVILLE (10),226.0
Donald J. Trump,2.0,Loudoun County,73.82%,Republican,411 - EAST LOVETTSVILLE (10),702.0
Jo Jorgensen,3.0,Loudoun County,1.79%,Libertarian,411 - EAST LOVETTSVILLE (10),17.0
Write In,2147483647.0,Loudoun County,0.63%,Write-In,411 - EAST LOVETTSVILLE (10),6.0
Joseph R. Biden,1.0,Loudoun County,48.28%,Democratic,413 - TUSCARORA (10),28.0
Donald J. Trump,2.0,Loudoun County,48.28%,Republican,413 - TUSCARORA (10),28.0
Jo Jorgensen,3.0,Loudoun County,1.72%,Libertarian,413 - TUSCARORA (10),1.0
Write In,2147483647.0,Loudoun County,1.72%,Write-In,413 - TUSCARORA (10),1.0
Joseph R. Biden,1.0,Loudoun County,47.64%,Democratic,414 - RED ROCK (10),272.0
Donald J. Trump,2.0,Loudoun County,50.44%,Republican,414 - RED ROCK (10),288.0
Jo Jorgensen,3.0,Loudoun County,1.58%,Libertarian,414 - RED ROCK (10),9.0
Write In,2147483647.0,Loudoun County,0.35%,Write-In,414 - RED ROCK (10),2.0
Joseph R. Biden,1.0,Loudoun County,27.31%,Democratic,416 - HAMILTON (10),319.0
Donald J. Trump,2.0,Loudoun County,69.78%,Republican,416 - HAMILTON (10),815.0
Jo Jorgensen,3.0,Loudoun County,1.88%,Libertarian,416 - HAMILTON (10),22.0
Write In,2147483647.0,Loudoun County,1.03%,Write-In,416 - HAMILTON (10),12.0
Joseph R. Biden,1.0,Loudoun County,30.31%,Democratic,420 - RIVER CREEK (10),174.0
Donald J. Trump,2.0,Loudoun County,67.94%,Republican,420 - RIVER CREEK (10),390.0
Jo Jorgensen,3.0,Loudoun County,0.70%,Libertarian,420 - RIVER CREEK (10),4.0
Write In,2147483647.0,Loudoun County,1.05%,Write-In,420 - RIVER CREEK (10),6.0
Joseph R. Biden,1.0,Loudoun County,26.94%,Democratic,421 - BETWEEN THE HILLS (10),52.0
Donald J. Trump,2.0,Loudoun County,68.39%,Republican,421 - BETWEEN THE HILLS (10),132.0
Jo Jorgensen,3.0,Loudoun County,4.15%,Libertarian,421 - BETWEEN THE HILLS (10),8.0
Write In,2147483647.0,Loudoun County,0.52%,Write-In,421 - BETWEEN THE HILLS (10),1.0
Joseph R. Biden,1.0,Loudoun County,29.53%,Democratic,422 - SYCOLIN CREEK (10),181.0
Donald J. Trump,2.0,Loudoun County,67.70%,Republican,422 - SYCOLIN CREEK (10),415.0
Jo Jorgensen,3.0,Loudoun County,1.96%,Libertarian,422 - SYCOLIN CREEK (10),12.0
Write In,2147483647.0,Loudoun County,0.82%,Write-In,422 - SYCOLIN CREEK (10),5.0
Joseph R. Biden,1.0,Loudoun County,39.67%,Democratic,501 - WEST LEESBURG (10),242.0
Donald J. Trump,2.0,Loudoun County,55.90%,Republican,501 - WEST LEESBURG (10),341.0
Jo Jorgensen,3.0,Loudoun County,1.97%,Libertarian,501 - WEST LEESBURG (10),12.0
Write In,2147483647.0,Loudoun County,2.46%,Write-In,501 - WEST LEESBURG (10),15.0
Joseph R. Biden,1.0,Loudoun County,52.70%,Democratic,502 - EAST LEESBURG (10),419.0
Donald J. Trump,2.0,Loudoun County,43.27%,Republican,502 - EAST LEESBURG (10),344.0
Jo Jorgensen,3.0,Loudoun County,3.14%,Libertarian,502 - EAST LEESBURG (10),25.0
Write In,2147483647.0,Loudoun County,0.88%,Write-In,502 - EAST LEESBURG (10),7.0
Joseph R. Biden,1.0,Loudoun County,35.20%,Democratic,503 - DRY MILL (10),138.0
Donald J. Trump,2.0,Loudoun County,63.01%,Republican,503 - DRY MILL (10),247.0
Jo Jorgensen,3.0,Loudoun County,1.02%,Libertarian,503 - DRY MILL (10),4.0
Write In,2147483647.0,Loudoun County,0.77%,Write-In,503 - DRY MILL (10),3.0
Joseph R. Biden,1.0,Loudoun County,40.34%,Democratic,504 - SMARTS MILL (10),284.0
Donald J. Trump,2.0,Loudoun County,55.68%,Republican,504 - SMARTS MILL (10),392.0
Jo Jorgensen,3.0,Loudoun County,2.84%,Libertarian,504 - SMARTS MILL (10),20.0
Write In,2147483647.0,Loudoun County,1.14%,Write-In,504 - SMARTS MILL (10),8.0
Joseph R. Biden,1.0,Loudoun County,40.06%,Democratic,505 - COOL SPRING (10),290.0
Donald J. Trump,2.0,Loudoun County,57.60%,Republican,505 - COOL SPRING (10),417.0
Jo Jorgensen,3.0,Loudoun County,1.93%,Libertarian,505 - COOL SPRING (10),14.0
Write In,2147483647.0,Loudoun County,0.41%,Write-In,505 - COOL SPRING (10),3.0
Joseph R. Biden,1.0,Loudoun County,49.69%,Democratic,506 - BRANDON PARK (10),243.0
Donald J. Trump,2.0,Loudoun County,45.60%,Republican,506 - BRANDON PARK (10),223.0
Jo Jorgensen,3.0,Loudoun County,3.48%,Libertarian,506 - BRANDON PARK (10),17.0
